,missing_count,missing_percentage
SEQN,0,0.0
RIDAGEYR,0,0.0
RIAGENDR,0,0.0
INDFMPIR,835,14.258879781420767
LBXHSCRP,710,12.12431693989071
DPQ010,762,13.012295081967212
DPQ020,763,13.029371584699453
DPQ030,763,13.029371584699453
DPQ040,764,13.046448087431695
DPQ050,764,13.046448087431695
DPQ060,765,13.063524590163937
DPQ070,765,13.063524590163937
DPQ080,765,13.063524590163937
DPQ090,766,13.080601092896174
DXDTOPF,3404,58.12841530054644
BMXBMI,422,7.206284153005464
PAQ605,0,0.0
PAQ610,4467,76.28073770491804
PAD615,4475,76.41734972677595
PAQ620,0,0.0
PAQ625,3417,58.35040983606557
PAD630,3430,58.572404371584696
PAQ635,0,0.0
PAQ640,4417,75.42691256830601
PAD645,4426,75.58060109289617
PAQ650,0,0.0
PAQ655,4422,75.51229508196722
PAD660,4425,75.56352459016394
PAQ665,0,0.0
PAQ670,3548,60.58743169398907
PAD675,3555,60.70696721311475
PAD680,10,0.17076502732240437
