,missing_count,missing_percentage
SEQN,0,0.0
RIDAGEYR,0,0.0
RIAGENDR,0,0.0
INDFMPIR,1231,13.302355738059218
LBXHSCRP,2004,21.65550032418414
DPQ010,4160,44.95353360708882
DPQ020,4161,44.96433974497515
DPQ030,4161,44.96433974497515
DPQ040,4162,44.97514588286147
DPQ050,4162,44.97514588286147
DPQ060,4163,44.98595202074778
DPQ070,4163,44.98595202074778
DPQ080,4163,44.98595202074778
DPQ090,4164,44.9967581586341
DXDTOPF,5596,60.47114761184352
BMXBMI,1249,13.496866220012969
PAQ605,3398,36.71925653771343
PAQ610,7865,84.99027447590231
PAD615,7873,85.07672357899287
PAQ620,3398,36.71925653771343
PAQ625,6815,73.64382969526692
PAD630,6828,73.78430948778907
PAQ635,3398,36.71925653771343
PAQ640,7815,84.44996758158634
PAD645,7824,84.54722282256321
PAQ650,3398,36.71925653771343
PAQ655,7820,84.50399827101793
PAD660,7823,84.5364166846769
PAQ665,3398,36.71925653771343
PAQ670,6946,75.05943375837477
PAD675,6953,75.135076723579
PAD680,3408,36.82731791657661
